NomMus;Imagen;Sexo;DiaNac;MesNac;AnioNac;DiaDef;MesDef;AnioDef;Pais;Origen;Visitas
"Colin Richardson";https://www.metal-archives.com/images/1/4/6/8/14682_artist.jpg?081;Hombre;;;;;;;"Reino Unido";;0
"Craig Goldy";https://www.metal-archives.com/images/8/0/0/5/8005_artist.jpg?5223;Hombre;6;11;1961;;;;"Estados Unidos";"San Diego, California";0
Cronos;https://www.metal-archives.com/images/4/6/8/1/4681_artist.jpg?0629;Hombre;15;1;1963;;;;"Reino Unido";"Newcastle upon Tyne, Tyne and Wear, England";0
"Damien Gregori";https://www.metal-archives.com/images/1/7/7/6/1776_artist.jpeg?3702;Hombre;;;;;;;"Reino Unido";"Limavady, Londonderry, Northern Ireland";0
"Dan Johnson";;Hombre;;;;;;;"Estados Unidos";;0
"Dan Lilker";https://www.metal-archives.com/images/3/3/4/3/3343_artist.jpg?2343;Hombre;18;10;1964;;;;"Estados Unidos";"Bayside, New York";0
"Dan Spitz";https://www.metal-archives.com/images/5/9/8/7/5987_artist.jpg?1934;Hombre;28;1;1963;;;;"Estados Unidos";"Queens, New York";0
"Dan Swanö";https://www.metal-archives.com/images/4/3/3/433_artist.jpg?0418;Hombre;10;3;1973;;;;Suecia;"Finspång, Östergötland";0
"Dan Turner";https://www.metal-archives.com/images/6/9/4/8/69481_artist.jpg?2445;Hombre;;;1981;;;;"Reino Unido";;0
"Dani Filth";https://www.metal-archives.com/images/1/6/9/6/1696_artist.jpg?0029;Hombre;25;7;1973;;;;"Reino Unido";"Hertford, Hertfordshire, England";0
"Daniel Bergstrand";https://www.metal-archives.com/images/3/3/5/7/33574_artist.jpg?4419;Hombre;;;;;;;Suecia;;0
"Daniel Erlandsson";https://www.metal-archives.com/images/2/8/8/2/2882_artist.jpg?1415;Hombre;22;5;1976;;;;Suecia;"Malmö, Skåne";0
"Daniel Gibson";;Hombre;27;10;1979;;;;Suecia;;0
"Daniel Mullback";https://www.metal-archives.com/images/2/9/6/8/2968_artist.jpg?0301;Hombre;14;10;1982;;;;Suecia;"Falun, Dalarna";0
"Daniel Mÿhr";https://www.metal-archives.com/images/2/9/6/1/2961_artist.jpg?5711;Hombre;9;9;1980;;;;Suecia;"Borlänge, Dalarna";0
"Daniel Svensson";https://www.metal-archives.com/images/6/2/4/1/6241_artist.jpg?1642;Hombre;20;11;1977;;;;Suecia;"Gothenburg, Västra Götaland";0
"Daniel Wilding";https://www.metal-archives.com/images/9/7/3/7/9737_artist.jpg?3211;Hombre;22;1;1989;;;;"Reino Unido";"Chichester, West Sussex, England";0
"Daniele Carbonera";https://www.metal-archives.com/images/2/0/2/4/2024_artist.jpg?2302;Hombre;10;9;1972;;;;Italia;"Trieste, Friuli-Venezia Giulia";0
"Dann Huff";https://www.metal-archives.com/images/3/9/2/0/39203_artist.jpeg?5848;Hombre;15;11;1960;;;;"Estados Unidos";"Nashville, Tennessee";0
"Dave Holland";https://www.metal-archives.com/images/3/7/2/0/3720_artist.jpg?2943;Hombre;5;4;1948;16;1;2018;"Reino Unido";"Wolverhampton, West Midlands, England";0
"Dave Jerden";https://www.metal-archives.com/images/7/8/3/5/78357_artist.jpg?0739;Hombre;25;7;1949;;;;"Estados Unidos";;0
"Dave Lombardo";https://www.metal-archives.com/images/2/7/0/270_artist.jpg?0339;Hombre;16;2;1965;;;;Cuba;Havana;1
"Dave McClain";https://www.metal-archives.com/images/2/5/9/5/25956_artist.jpg?023;Hombre;24;10;1965;;;;Alemania;"Frankfurt, Hesse";0
"Dave Murray";https://www.metal-archives.com/images/1/0/9/109_artist.jpg?3030;Hombre;23;12;1956;;;;"Reino Unido";"Edmonton, London, England";0
"Dave Mustaine";https://www.metal-archives.com/images/1/8/4/184_artist.jpg?2917;Hombre;13;9;1961;;;;"Estados Unidos";"La Mesa, California";0
"Dave Pybus";https://www.metal-archives.com/images/1/7/1/0/1710_artist.jpg?0915;Hombre;4;6;1970;;;;"Reino Unido";"Heckmondwike, West Yorkshire, England";1
"Dave Sabo";https://www.metal-archives.com/images/6/8/6/7/68670_artist.jpg?0623;Hombre;16;9;1964;;;;"Estados Unidos";"Perth Amboy, New Jersey";0
"Dave Tarling";;Hombre;;;;;;;"Estados Unidos";;0
"David Ellefson";https://www.metal-archives.com/images/2/1/8/218_artist.jpg?1503;Hombre;12;11;1964;;;;"Estados Unidos";"Jackson, Minnesota";0
"David Pigg";;Hombre;;;;;;;"Estados Unidos";;0
"David Prater";;Hombre;;;;;;;"Estados Unidos";;0
"David Vincent";https://www.metal-archives.com/images/5/5_artist.jpg?5751;Hombre;22;4;1965;;;;"Estados Unidos";"Charlotte, North Carolina";0
"Deen Castronovo";https://www.metal-archives.com/images/1/0/9/0/10909_artist.jpg?1703;Hombre;17;8;1964;;;;"Estados Unidos";"Westminster, California";0
"Dennis McKay";;Hombre;;;;;;;"Reino Unido";;0
"Dennis Stratton";https://www.metal-archives.com/images/4/1/8/2/4182_artist.jpg?3147;Hombre;9;10;1952;;;;"Reino Unido";"London, England";0
"Dick Lövgren";https://www.metal-archives.com/images/7/2/9/9/7299_artist.jpg?5615;Hombre;11;11;1980;;;;Suecia;"Varberg, Halland";0
"Dieter Dierks";https://www.metal-archives.com/images/3/2/6/6/32668_artist.jpg?2152;Hombre;9;2;1943;;;;Alemania;"Pulheim, North Rhine-Westphalia";0
"Dimebag Darrell";https://www.metal-archives.com/images/5/7/4/8/5748_artist.jpg?4132;Hombre;20;8;1966;8;12;2004;"Estados Unidos";"Ennis, Texas";0
"Dino Cazares";https://www.metal-archives.com/images/7/0/1/701_artist.jpg?4537;Hombre;2;9;1966;;;;"Estados Unidos";"El Centro, California";0
"Dirk Steffens";https://www.metal-archives.com/images/5/6/7/5/56757_artist.jpg?0417;Hombre;20;5;1950;;;;Alemania;;0
"Dominic Steiner";https://www.metal-archives.com/images/1/7/0/3/17036_artist.jpg?5553;Hombre;;;;;;;Suiza;;0
"Don Airey";https://www.metal-archives.com/images/8/9/3/1/8931_artist.jpg?3848;Hombre;21;6;1948;;;;"Reino Unido";"Sunderland, Tyne and Wear, England";0
"Donnie Hamzik";https://www.metal-archives.com/images/8/4/5/5/8455_artist.jpg?2159;Hombre;18;10;1956;;;;"Estados Unidos";"Binghamton, New York";0
"Doug Blair";https://www.metal-archives.com/images/3/4/9/9/34991_artist.jpg?4305;Hombre;11;2;1963;;;;"Estados Unidos";"Manchester, Connecticut";0
"Doug Cook";https://www.metal-archives.com/images/1/3/0/1/130130_artist.jpg?0332;Hombre;;;;;;;"Estados Unidos";;0
"Drew Fulk";https://www.metal-archives.com/images/6/8/2/6/682646_artist.jpg?4746;Hombre;1;5;1987;;;;"Estados Unidos";"Kernersville, North Carolina";0
"Duane Baron";https://www.metal-archives.com/images/1/0/7/3/107365_artist.jpg?5612;Hombre;;;;;;;Canadá;"Winnipeg, Manitoba";0
"Eddie Kramer";https://www.metal-archives.com/images/1/0/6/4/106472_artist.jpg?59;Hombre;19;4;1942;;;;Sudáfrica;"Cape Town";0
"Emppu Vuorinen";https://www.metal-archives.com/images/2/3/0/2/2302_artist.jpg?0545;Hombre;24;6;1978;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"Eric Adams";https://www.metal-archives.com/images/8/4/4/0/8440_artist.jpg?1100;Hombre;12;7;1954;;;;"Estados Unidos";"Auburn, New York";1
"Eric Peterson";https://www.metal-archives.com/images/7/6/6/766_artist.jpg?3348;Hombre;14;5;1964;;;;"Estados Unidos";"Berkeley, California";0
"Eric Rachel";https://www.metal-archives.com/images/5/3/7/5/53758_artist.jpg?4646;Hombre;31;3;1954;;;;"Estados Unidos";;0
"Erik Rutan";https://www.metal-archives.com/images/3/9/1/5/3915_artist.jpg?2622;Hombre;10;6;1971;;;;"Estados Unidos";"Jersey City, New Jersey";0
"Erol Unala";https://www.metal-archives.com/images/1/7/0/2/17027_artist.jpg?122;Hombre;;;;;;;Suiza;;0
"Esa Holopainen";https://www.metal-archives.com/images/2/0/1/2/2012_artist.jpg?0800;Hombre;1;10;1972;;;;Finlandia;;0
"Fabienne Erni";https://www.metal-archives.com/images/6/9/3/8/693855_artist.jpg?3730;Mujer;11;3;1993;;;;Suiza;;0
"Fabio Lione";https://www.metal-archives.com/images/1/9/9/9/1999_artist.jpg?0850;Hombre;9;10;1973;;;;Italia;"Pisa, Tuscany";0
"Fast Eddie Clarke";https://www.metal-archives.com/images/2/2/4/2/2242_artist.jpg?0647;Hombre;5;10;1950;10;1;2018;"Reino Unido";"Twickenham, London, England";0
"Fernando Ponce de León";https://www.metal-archives.com/images/5/1/2/5/51258_artist.jpg?143;Hombre;19;5;1965;;;;España;;0
"Flemming Rasmussen";https://www.metal-archives.com/images/1/1/2/8/11282_artist.jpg?2125;Hombre;1;1;1958;;;;Dinamarca;"Kastrup, Copenhagen, Kastrup";0
"Floor Jansen";https://www.metal-archives.com/images/3/7/6/7/3767_artist.jpg?3235;Mujer;21;2;1981;;;;"Países Bajos";"Goirle, North Brabant";1
"Franco Sesa";https://www.metal-archives.com/images/8/6/8/0/8680_artist.jpg?4739;Hombre;;;;;;;Suiza;;0
Frank;https://www.metal-archives.com/images/5/1/2/7/51270_artist.jpg?2813;Hombre;31;1;1970;;;;España;"Vallecas, Madrid";0
"Frank Bello";https://www.metal-archives.com/images/5/9/5/2/5952_artist.jpg?2054;Hombre;9;7;1965;;;;"Estados Unidos";"Bronx, New York City, New York";0
"Frank Blackfire";https://www.metal-archives.com/images/5/0/5/2/5052_artist.jpg?4441;Hombre;24;2;1966;;;;Alemania;"Essen, North Rhine-Westphalia";0
"Frank Rand";https://www.metal-archives.com/images/9/0/2/3/902301_artist.jpg?2856;Hombre;;;;;;;;;0
"Frankie Banali";https://www.metal-archives.com/images/3/8/8/1/38816_artist.jpg?2154;Hombre;14;11;1951;20;8;2020;"Estados Unidos";"New York City, New York";0
"Frederik Ehmke";https://www.metal-archives.com/images/7/3/9/739_artist.jpg?0638;Hombre;21;6;1978;;;;Alemania;"Malsch, Baden-Württemberg";0
"Fredrik Åkesson";https://www.metal-archives.com/images/1/5/0/150_artist.jpg?2208;Hombre;18;7;1972;;;;Suecia;Stockholm;0
"Fredrik Johansson";https://www.metal-archives.com/images/6/1/8/0/6180_artist.jpg?2827;Hombre;25;6;1974;25;1;2022;Suecia;"Gothenburg, Västra Götaland";0
"Fredrik Nordström";https://www.metal-archives.com/images/7/7/3/2/7732_artist.jpg?4758;Hombre;5;1;1967;;;;Suecia;"Gothenburg, Västra Götaland";0
"Fredrik Thordendal";https://www.metal-archives.com/images/7/2/8/6/7286_artist.jpg?5722;Hombre;11;2;1970;;;;Suecia;"Umeå, Västerbotten";0
Galder;https://www.metal-archives.com/images/9/2/8/9/9289_artist.jpg?1057;Hombre;18;10;1976;;;;Noruega;"Jessheim, Viken";0
"Gar Samuelson";https://www.metal-archives.com/images/2/7/7/2/2772_artist.jpg?1210;Hombre;18;2;1958;14;7;1999;"Estados Unidos";"Dunkirk, New York";0
"Gary Holt";https://www.metal-archives.com/images/2/9/2/5/2925_artist.jpg?4606;Hombre;4;5;1964;;;;"Estados Unidos";"Richmond, California";0
"Geezer Butler";https://www.metal-archives.com/images/2/2/2/5/2225_artist.jpg?0814;Hombre;17;7;1949;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Gene Hoglan";https://www.metal-archives.com/images/6/8/5/685_artist.jpeg?3711;Hombre;31;8;1967;;;;"Estados Unidos";"Dallas, Texas";0
"Gian Pyres";https://www.metal-archives.com/images/1/7/3/5/1735_artist.jpg?0041;Hombre;20;10;1973;;;;"Reino Unido";"London, England";0
"Glenn Ljungström";https://www.metal-archives.com/images/6/4/8/6/6486_artist.jpg?1032;Hombre;7;9;1974;;;;Suecia;"Gothenburg, Västra Götaland";0
"Glenn Tipton";https://www.metal-archives.com/images/3/5/5/3/3553_artist.jpg?0110;Hombre;25;10;1947;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Goyo Esteban";https://www.metal-archives.com/images/9/4/5/7/94570_artist.jpg?3256;Hombre;;;;;;;España;;0
"Greg Christian";https://www.metal-archives.com/images/7/6/9/769_artist.jpg?3108;Hombre;29;4;1966;;;;"Estados Unidos";"Pleasanton, California";0
"Greg Fidelman";https://www.metal-archives.com/images/5/9/6/7/59672_artist.jpg?1253;Hombre;4;9;1965;;;;"Estados Unidos";;0
"Greg Reely";https://www.metal-archives.com/images/1/1/1/7/111730_artist.jpg?1515;Hombre;;;;;;;Canadá;"Vancouver, British Columbia";0
"Gregor Mackintosh";https://www.metal-archives.com/images/2/5/5/9/2559_artist.jpg?1950;Hombre;20;6;1970;;;;"Reino Unido";;0
"Gustaf Hielm";https://www.metal-archives.com/images/1/1/5/2/1152_artist.jpg?5747;Hombre;26;2;1973;;;;Suecia;"Kungsör, Västmanland";0
"Hal Patino";https://www.metal-archives.com/images/3/3/4/334_artist.jpg?0606;Hombre;;;;;;;"Estados Unidos";"Las Vegas, Nevada";0
"Hannes Van Dahl";https://www.metal-archives.com/images/1/5/3/3/15332_artist.jpg?0133;Hombre;18;1;1990;;;;Suecia;;0
"Hansi Kürsch";https://www.metal-archives.com/images/6/7/3/673_artist.jpg?0740;Hombre;10;8;1966;;;;Alemania;"Meerbusch, North Rhine-Westphalia";0
"Harris Johns";https://www.metal-archives.com/images/2/1/3/6/21366_artist.jpg?344;Hombre;;;;;;;Alemania;;0
Hellhammer;https://www.metal-archives.com/images/4/4/44_artist.jpg?5434;Hombre;2;8;1969;;;;Noruega;"Trysil, Innlandet";0
"Henkka T. Blacksmith";https://www.metal-archives.com/images/1/1/2/0/11201_artist.jpg?5516;Hombre;7;6;1980;;;;Finlandia;"Espoo, Uusimaa";1
"Herman Frank";https://www.metal-archives.com/images/2/1/6/7/21677_artist.jpg?3802;Hombre;20;1;1959;;;;Alemania;"Erlangen, Bavaria";0
"Horst Müller";https://www.metal-archives.com/images/6/9/8/6/69860_artist.jpg?0535;Hombre;;;;;;;Suiza;;0
"Howard Benson";https://www.metal-archives.com/images/1/0/6/1/106122_artist.jpg?0756;Hombre;;;1956;;;;"Estados Unidos";"Havertown, Pennsylvania";0
"Ian Hill";https://www.metal-archives.com/images/3/5/5/7/3557_artist.jpg?0017;Hombre;20;1;1951;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"ICS Vortex";https://www.metal-archives.com/images/1/5/4/9/1549_artist.jpg?0313;Hombre;4;3;1974;;;;Noruega;Oslo;0
"Igor Cavalera";https://www.metal-archives.com/images/4/5/1/1/4511_artist.jpg?0706;Hombre;4;9;1970;;;;Brasil;"Belo Horizonte, Minas Gerais";0
Inferno;https://www.metal-archives.com/images/3/5/35_artist.jpg?2907;Hombre;30;12;1978;;;;Polonia;"Tczew, Pomerania";0
"Ingo Schwichtenberg";https://www.metal-archives.com/images/3/4/5/5/3455_artist.jpg?3459;Hombre;18;5;1965;8;3;1995;Alemania;Hamburg;0
"Ivan de Prume";https://www.metal-archives.com/images/3/9/1/6/39162_artist.jpg?434;Hombre;2;1;1968;;;;"Estados Unidos";"New York City, New York";0
"Ivar de Graaf";https://www.metal-archives.com/images/2/9/9/9/29999_artist.jpg?222;Hombre;20;8;1973;;;;"Países Bajos";"Amsterdam, North Holland";2
"Ivo Henzi";https://www.metal-archives.com/images/1/2/1/0/12109_artist.jpg?4527;Hombre;;;1983;;;;Suiza;Zürich;1
